Iterations,Generation,Generation Average Fitness,Generation Best Fitness,Generation Worst Fitness,Population Size,Population Best Fitness
219,257,4757,10315,635,219,385
219,258,4113,12160,1510,219,385
219,259,4950,10335,635,219,385
219,260,4855,12150,1490,219,385
219,261,5583,12155,2440,219,385
219,262,4026,8490,620,219,385
219,263,4671,12160,620,219,385
219,264,5210,12140,630,219,385
219,265,5673,12145,1500,219,385
219,266,5209,12150,615,219,385
219,267,4756,10335,2450,219,385
219,268,5035,10335,625,219,385
219,269,3928,7520,1490,219,385
219,270,4112,8500,615,219,385
219,271,5396,12145,1510,219,385
219,272,5404,10335,1495,219,385
219,273,5487,12160,2440,219,385
219,274,4573,10335,2460,219,385
219,275,4949,10335,625,219,385
219,276,5586,12145,625,219,385
219,277,4933,12160,1495,219,385
219,278,3756,12150,615,219,385
219,279,4468,7520,2440,219,385
219,280,4296,12160,630,219,385
219,281,4193,8490,1490,219,385
219,282,4201,12155,635,219,385
219,283,4750,8510,1510,219,385
219,284,6507,12160,2440,219,385
219,285,5403,10335,2450,219,385
219,286,6684,12160,630,219,385
219,287,5585,12160,635,219,385
219,288,5943,12160,2440,219,385
219,289,5859,10335,1510,219,385
219,290,4197,7535,620,219,385
219,291,5037,10335,1505,219,385
219,292,5120,12150,615,219,385
219,293,4028,10325,635,219,385
219,294,5584,12160,625,219,385
219,295,4670,10335,620,219,385
219,296,5313,12160,620,219,385
219,297,4383,10315,615,219,385
219,298,4015,5710,2440,219,385
219,299,5217,12160,630,219,385
219,300,4113,10315,1490,219,385
219,301,5113,10325,1495,219,385
219,302,5681,10335,2440,219,385
219,303,5035,12150,1510,219,385
219,304,4951,10335,620,219,385
219,305,4574,12160,625,219,385
219,306,5298,12145,630,219,385
219,307,5211,12160,1495,219,385
219,308,5203,10335,1495,219,385
219,309,5228,12160,635,219,385
219,310,4392,12160,635,219,385
219,311,5221,10335,635,219,385
219,312,4113,10335,1510,219,385
219,313,4480,10315,1500,219,385
219,314,5220,12160,635,219,385
219,315,5228,12145,620,219,385
219,316,5762,10335,1495,219,385
219,317,4655,8510,1510,219,385
219,318,5778,10335,2440,219,385
219,319,5210,12155,1510,219,385
219,320,4948,12160,625,219,385
219,321,4758,12160,615,219,385
219,322,5681,12160,2455,219,385
219,323,5673,12160,1510,219,385
219,324,4485,10335,1510,219,385
219,325,5209,10335,2445,219,385
219,326,4016,7535,635,219,385
219,327,4653,12155,1505,219,385
219,328,5218,12160,620,219,385
219,329,5403,10335,635,219,385
219,330,5044,10335,2440,219,385
219,331,4751,10330,1495,219,385
219,332,3937,10335,615,219,385
219,333,4471,12160,1500,219,385
219,334,5295,10335,1505,219,385
219,335,4105,8495,1510,219,385
219,336,5480,12160,1510,219,385
219,337,5213,12160,1490,219,385
219,338,4940,12155,635,219,385
219,339,5028,12160,1490,219,385
219,340,5953,12160,1510,219,385
219,341,5308,10335,1510,219,385
219,342,4480,10315,635,219,385
219,343,4750,10325,1510,219,385
219,344,4306,10325,635,219,385
219,345,5116,12145,1495,219,385
219,346,3920,5690,2440,219,385
219,347,4218,10335,615,219,385
219,348,5872,12160,615,219,385
219,349,4670,10335,615,219,385
219,350,4854,10335,635,219,385
219,351,5120,12160,620,219,385
219,352,4573,12145,615,219,385
219,353,4393,8510,635,219,385
219,354,3920,5710,635,219,385
219,355,4470,10320,1500,219,385
219,356,4940,10335,1495,219,385
219,357,4758,10335,2445,219,385
219,358,5403,12160,615,219,385
219,359,6133,12160,1510,219,385
219,360,5105,10315,3315,219,385
219,361,4398,12155,625,219,385
219,362,4845,10335,635,219,385
219,363,4757,8510,1490,219,385
219,364,5201,10320,1510,219,385
219,365,5759,12160,630,219,385
219,366,4379,7515,615,219,385
219,367,4392,10335,635,219,385
219,368,4661,10330,635,219,385
219,369,5861,12145,635,219,385
219,370,4384,8505,1495,219,385
219,371,4302,10315,635,219,385
219,372,4103,5710,1495,219,385
219,373,4765,10335,630,219,385
219,374,4496,12160,615,219,385
219,375,4478,8500,1510,219,385
219,376,5219,12160,630,219,385
219,377,5499,10325,2460,219,385
219,378,5951,12160,620,219,385
219,379,6125,12150,1495,219,385
219,380,4218,10320,615,219,385
219,381,6231,12160,1510,219,385
219,382,5403,10335,2450,219,385
219,383,5134,12160,620,219,385
219,384,5036,10335,2445,219,385
219,385,6125,10335,2460,219,385
219,386,4748,10335,1495,219,385
219,387,5028,10335,620,219,385
219,388,4289,10335,1495,219,385
219,389,4403,10335,615,219,385
219,390,5403,10335,1495,219,385
219,391,5301,10335,1505,219,385
219,392,5681,12145,630,219,385
219,393,3755,10335,615,219,385
219,394,5218,12160,635,219,385
219,395,5308,10335,615,219,385
219,396,5961,12160,2445,219,385
219,397,5403,12150,1505,219,385
219,398,5496,12145,2445,219,385
219,399,4940,10335,1510,219,385
219,400,4774,10335,615,219,385
219,401,4026,10335,615,219,385
219,402,5218,12155,620,219,385
219,403,4208,10325,635,219,385
219,404,4488,12140,635,219,385
219,405,4487,10315,615,219,385
219,406,4757,10335,625,219,385
219,407,4940,12140,1510,219,385
219,408,5681,12160,1495,219,385
219,409,5229,12155,1510,219,385
219,410,5032,10325,2440,219,385
219,411,5220,12140,635,219,385
219,412,6221,12160,2460,219,385
219,413,5402,10335,1510,219,385
219,414,5760,12160,620,219,385
219,415,5228,10335,620,219,385
219,416,4941,10335,1500,219,385
219,417,4941,12160,615,219,385
219,418,5593,12160,635,219,385
219,419,4747,10335,1510,219,385
219,420,4303,10325,635,219,385
219,421,4113,10325,635,219,385
219,422,4478,10335,1510,219,385
219,423,5582,12160,615,219,385
219,424,5028,10330,1495,219,385
219,425,4026,12160,630,219,385
219,426,4586,12145,625,219,385
219,427,4298,10330,635,219,385
219,428,5210,12160,1500,219,385
219,429,5035,12160,1510,219,385
219,430,3929,7535,635,219,385
219,431,4659,12160,635,219,385
219,432,4565,10315,1490,219,385
219,433,5953,12140,1490,219,385
219,434,5488,12160,635,219,385
219,435,5046,10330,620,219,385
219,436,5413,12155,625,219,385
219,437,4573,8490,615,219,385
219,438,6777,12160,2440,219,385
219,439,5488,10335,2455,219,385
219,440,5499,12155,620,219,385
219,441,4576,12160,635,219,385
219,442,5306,12160,2440,219,385
219,443,5952,12160,635,219,385
219,444,4950,10335,620,219,385
219,445,6778,12160,2440,219,385
219,446,5126,10320,630,219,385
219,447,5210,10335,1510,219,385
219,448,5305,10335,1510,219,385
219,449,5018,10335,1495,219,385
219,450,5674,12160,1505,219,385
219,451,4306,10325,630,219,385
219,452,5758,10335,3315,219,385
219,453,4478,8510,1510,219,385
219,454,5035,10320,2440,219,385
219,455,4212,8510,635,219,385
219,456,4950,10335,630,219,385
219,457,5770,12160,1500,219,385
219,458,5760,12160,615,219,385
219,459,5309,12160,615,219,385
219,460,4565,8490,1510,219,385
219,461,4948,10320,2450,219,385
219,462,4931,10335,2445,219,385
219,463,5125,12160,620,219,385
219,464,5404,10330,1510,219,385
219,465,4487,8510,635,219,385
219,466,5863,12160,625,219,385
219,467,4583,12140,630,219,385
219,468,3745,5710,615,219,385
219,469,4391,12160,620,219,385
219,470,6403,12160,1510,219,385
219,471,4749,10335,1495,219,385
219,472,4855,12145,635,219,385
219,473,4566,10330,635,219,385
219,474,4209,12155,620,219,385
219,475,4113,10325,1490,219,385
219,476,4748,8510,1495,219,385
219,477,5315,12145,635,219,385
219,478,4288,8505,635,219,385
219,479,4573,12160,620,219,385
219,480,5586,12145,620,219,385
219,481,6220,12160,635,219,385
219,482,5405,12150,635,219,385
219,483,4671,10335,635,219,385
219,484,5037,10335,625,219,385
219,485,5133,12150,620,219,385
219,486,5046,10335,630,219,385
219,487,5500,10335,630,219,385
219,488,6220,12140,2440,219,385
219,489,5759,12160,1510,219,385
219,490,4120,10315,615,219,385
219,491,4573,12155,625,219,385
219,492,4575,12140,615,219,385
219,493,4758,10335,625,219,385
219,494,4198,5710,2455,219,385
219,495,4028,10325,635,219,385
219,496,4671,8510,615,219,385
219,497,4382,10325,635,219,385
219,498,5315,10335,2440,219,385
219,499,5211,10335,635,219,385
219,500,5411,12145,635,219,385
219,501,4573,12160,620,219,385
219,502,4661,12140,620,219,385
219,503,3840,7535,630,219,385
219,504,4123,8510,615,219,385
219,505,3923,12150,620,219,385
219,506,6220,12150,2440,219,385
219,507,5488,12140,1500,219,385
219,508,4923,12145,1495,219,385
219,509,4941,10335,635,219,385
219,510,5213,12160,1510,219,385
219,511,4673,10335,620,219,385
219,512,5775,10335,2445,219,385
219,513,4124,10325,635,219,385
219,514,4488,10330,625,219,385
219,515,5403,12160,615,219,385
219,516,5594,12140,620,219,385
219,517,3748,10335,615,219,385
219,518,5393,10335,1510,219,385
219,519,4400,12160,635,219,385
219,520,5421,12150,635,219,385
219,521,3832,5710,625,219,385
219,522,5768,12160,1510,219,385
219,523,4111,5710,635,219,385
219,524,4673,12140,615,219,385
219,525,5306,10335,2460,219,385
219,526,5941,12160,630,219,385
219,527,4679,10335,615,219,385
219,528,5769,12160,2455,219,385
219,529,4383,10320,1495,219,385
219,530,4854,10335,620,219,385
219,531,5218,10335,2440,219,385
219,532,4296,10335,1510,219,385
219,533,4861,10335,2445,219,385
